Artist,total,sales,streaming,publishing,touring,year
Taylor Swift,23.8,10,10.6,3.2,0,2020
Post Malone,23.2,0.7125,8.1,2,12.4,2020
Celine Dion,17.5,0.25,0.29,0.024,17,2020
Eagles,16.3,0.97,2.7,1.2,11.4,2020
Bellie Eilish,14.7,2.1,5.9,5.7,1,2020
Drake,14.2,0.635,11.7,1.9,0,2020
Queen,13.2,5.3,5.5,2.4,0,2020
The Beatles,12.9,5.2,5.1,2.6,0,2020
YoungBoy Never Broke Again,11.9,0.126,10,1.7,0.129,2020
Lil Baby,11.7,0.152,9.1,2.2,0.253,2020
The Weeknd,10.4,1.5,7.3,1.6,0,2020
Aventura,10.2,0.014,0.939,0.436,8.8,2020
AC/DC,10.1,4,4.3,1.8,0,2020
Eminem,9.7,1.3,6.6,1.8,0,2020
Lil Uzi Vert,9.5,0..89,7.6,1.8,0,2020
Luke Combs,9.2,0.874,5.5,1.8,1,2020
DaBaby,9.1,0.16,7.1,1.5,0.313,2020
Metallica,9,3.7,3.9,1.4,0,2020
BTS,8.9,4.3,3.7,0.967,0,2020
Pink Floyd,8.8,4.3,3.2,1.3,0,2020
Bad Bunny,8.4,0.218,6.8,1.4,0,2020
Future,8.2,0.185,6.4,1.6,0,2020
Ariana Grande,7.5,0.768,6,0.759,0,2020
Roddy Ricch,7.4,0.119,5.7,1.5,0.091,2020
Rod Wave,7.37,0.066,6,1.3,0,2020
George Strait,6.9,0.447,2.1,0.166,4.2,2020
The Lumineers,6.8,0.337,1.3,0.838,4.3,2020
Blake Shelton,6.7,0.592,2.2,0.003,3.9,2020
Fleetwood Mac,6.6,1.8,3.2,1.6,0,2020
Kanye West,6.3,0.8,3.9,1.6,0,2020
Justin Bieber,6.22,1.1,4.7,0.435,0,2020
Tool,6.17,0.557,0.823,0.611,4.2,2020
Kiss,6,0.348,0.431,0.195,5,2020
The Rolling Stones,5.96,1.8,2.97,1.17,0,2020
Travis Scott,5.82,0.485,4.96,0.373,0,2020
Ed Sheeran,5.66,0.395,3.74,1.53,0,2020
Halsey,5.55,0.97,3.48,1.1,0,2020
Harry Styles,5.51,1.84,3.3,0.398,0,2020
Billy Joel,5.49,0.31,1.7,0.986,2.5,2020
Aerosmith,5.35,0.564,1.33,0.84,2.7,2020
Taylor Swift,99.6,1.5,5.67,1.9,90.5,2019
Bruce Springsteen,53,0.499,0.814,0.79,50.9,2019
Drake,52.5,1.6,17.1,3.1,30.7,2019
Kenny Chesney,42.5,1,2.6,0.25,38.6,2019
Ed Sheeran,41.8,1.7,4.8,2.5,32.8,2019
Eagles,37.5,1.2,2.2,1,33.1,2019
Justin Timberlake,37.4,1.4,2.2,0.896,33,2019
Elton John,36.3,0.813,1.5,0.431,33.5,2019
Billy Joel,35.8,0.362,1.4,1,33.05,2019
Pink,35.5,1.2,1.5,1.1,31.7,2019
Beyonce,33.1,0.671,4.2,0.593,27.6,2019
Bruno Mars,32.6,0.99,3.5,0.96,27.2,2019
Jay-z,32.5,1.7,2.9,0.256,27.6,2019
Luke Bryan,23.8,0.849,2.6,0.706,19.7,2019
Post Malone,22.3,1.6,10.4,2.6,7.8,2019
U2,21.4,0.55,0.869,0.61,19.4,2019
Metallica,19.6,4.8,3.4,1.4,9.9,2019
Maroon 5,19.3,0.739,3.8,1.9,12.9,2019
Journey,19.1,0.755,1.5,0.937,15.9,2019
Trans-Siberian Orchestra,18.5,0.308,0.333,0.171,17.7,2019
Imagine Dragons,18.2,2,4.3,4.4,7.4,2019
Def Leppard,17.6,0.577,0.673,0.493,15.9,2019
Foo Fighters,17,0.416,0.769,1.2,14.7,2019
